paper_id,cluster_id,cluster_label,umap_x,umap_y
8916,0,Shared Medium Coordination,55.3091,72.0114
8919,0,Shared Medium Coordination,43.2976,70.4909
8949,0,Shared Medium Coordination,54.9914,73.0143
8983,0,Shared Medium Coordination,53.2284,73.6828
9009,0,Shared Medium Coordination,52.8692,77.0384
9023,0,Shared Medium Coordination,57.5153,78.9320
9041,0,Shared Medium Coordination,51.9535,82.5659
9049,0,Shared Medium Coordination,46.4868,77.9693
9053,0,Shared Medium Coordination,50.9350,76.3978
9058,0,Shared Medium Coordination,54.0890,73.6152
9061,0,Shared Medium Coordination,54.2567,72.4269
9089,0,Shared Medium Coordination,49.5261,77.6966
9117,0,Shared Medium Coordination,51.2127,82.3724
9165,0,Shared Medium Coordination,50.4195,83.5739
9212,0,Shared Medium Coordination,57.3728,77.2565
9266,0,Shared Medium Coordination,51.4392,77.3761
9326,0,Shared Medium Coordination,48.0636,67.6999
9344,0,Shared Medium Coordination,54.0796,84.0534
9351,0,Shared Medium Coordination,54.0132,78.2928
9365,0,Shared Medium Coordination,52.2810,75.9882
9379,0,Shared Medium Coordination,53.0239,79.9301
9384,0,Shared Medium Coordination,45.2634,74.8098
9389,0,Shared Medium Coordination,55.3338,74.3325
9401,0,Shared Medium Coordination,50.7995,72.5279
9491,0,Shared Medium Coordination,46.2565,75.8664
9511,0,Shared Medium Coordination,55.7722,74.9245
9529,0,Shared Medium Coordination,51.5244,82.4779
9566,0,Shared Medium Coordination,48.8131,74.8992
9577,0,Shared Medium Coordination,43.8031,74.6397
9596,0,Shared Medium Coordination,49.6033,79.6531
9621,0,Shared Medium Coordination,47.7858,73.8959
9634,0,Shared Medium Coordination,54.5683,74.3249
9642,0,Shared Medium Coordination,50.6861,87.2971
9657,0,Shared Medium Coordination,55.8963,75.5575
9661,0,Shared Medium Coordination,52.0838,79.2153
9736,0,Shared Medium Coordination,46.1529,83.5179
9751,0,Shared Medium Coordination,50.6566,81.0501
9771,0,Shared Medium Coordination,47.9753,75.7396
9824,0,Shared Medium Coordination,55.8177,71.7275
9903,0,Shared Medium Coordination,51.6830,82.0454
9922,0,Shared Medium Coordination,52.4912,71.1884
9954,0,Shared Medium Coordination,44.3455,75.4379
9962,0,Shared Medium Coordination,50.9027,66.3516
9983,0,Shared Medium Coordination,55.4178,77.2020
9996,0,Shared Medium Coordination,54.9777,70.4781
10058,0,Shared Medium Coordination,54.1424,76.9502
10063,0,Shared Medium Coordination,54.3045,83.8944
10064,0,Shared Medium Coordination,47.1400,83.3861
10077,0,Shared Medium Coordination,48.9950,75.5311
10096,0,Shared Medium Coordination,50.9529,88.0788
10112,0,Shared Medium Coordination,60.0092,87.2481
10126,0,Shared Medium Coordination,49.9754,84.2285
10127,0,Shared Medium Coordination,50.3882,84.1867
10129,0,Shared Medium Coordination,56.0360,85.9963
10132,0,Shared Medium Coordination,50.4195,83.0496
10181,0,Shared Medium Coordination,53.8078,80.1076
10219,0,Shared Medium Coordination,51.2752,75.1125
10245,0,Shared Medium Coordination,50.0902,81.8155
10279,0,Shared Medium Coordination,55.5601,71.4686
10327,0,Shared Medium Coordination,54.0277,78.8795
10333,0,Shared Medium Coordination,54.2688,71.8646
10342,0,Shared Medium Coordination,50.1884,72.5983
